,text,dic_rounded,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin
0,"RT @annanablogueuse: Les gens qui veulent s'abstenir ou qui veulent voter Le Pen regardez le débat , ressaisissez vous et allez voter Macron… ",Nan,2,2,2,1,1,1
1,"RT @annanablogueuse: Les gens qui veulent s'abstenir ou qui veulent voter Le Pen regardez le débat , ressaisissez vous et allez voter Macron… ",Nan,2,2,2,1,1,1
2,"RT @annanablogueuse: Les gens qui veulent s'abstenir ou qui veulent voter Le Pen regardez le débat , ressaisissez vous et allez voter Macron… ",Nan,2,2,2,1,1,1
3,"RT @annanablogueuse: Les gens qui veulent s'abstenir ou qui veulent voter Le Pen regardez le débat , ressaisissez vous et allez voter Macron… ",Nan,2,2,2,1,1,1
4,"RT @annanablogueuse: Les gens qui veulent s'abstenir ou qui veulent voter Le Pen regardez le débat , ressaisissez vous et allez voter Macron… ",Nan,2,2,2,1,1,1
5,"RT @annanablogueuse: Les gens qui veulent s'abstenir ou qui veulent voter Le Pen regardez le débat , ressaisissez vous et allez voter Macron… ",Nan,2,2,2,1,1,1
6,"RT @annanablogueuse: Les gens qui veulent s'abstenir ou qui veulent voter Le Pen regardez le débat , ressaisissez vous et allez voter Macron… ",Nan,2,2,2,1,1,1
7,"RT @annanablogueuse: Les gens qui veulent s'abstenir ou qui veulent voter Le Pen regardez le débat , ressaisissez vous et allez voter Macron… ",Nan,2,2,2,1,1,1
8,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
9,"RT @annanablogueuse: Les gens qui veulent s'abstenir ou qui veulent voter Le Pen regardez le débat , ressaisissez vous et allez voter Macron… ",Nan,2,2,2,1,1,1
10,"RT @annanablogueuse: Les gens qui veulent s'abstenir ou qui veulent voter Le Pen regardez le débat , ressaisissez vous et allez voter Macron… ",Nan,2,2,2,1,1,1
11,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
12,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
13,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
14,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
