,Unnamed: 0,text,dic_rounded,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin,entities,candidate
0,0,RT @Jiemdef: Le pouvoir secret de Marine Le Pen ... #2017LeDebat #LeGrandDebat #RendezNousMélenchon #IlsNePasserontPas #Malaise ,Nan,2,2,2,0,0,1,Marine Le Pen,LePen
1,1,RT @Jiemdef: Le pouvoir secret de Marine Le Pen ... #2017LeDebat #LeGrandDebat #RendezNousMélenchon #IlsNePasserontPas #Malaise ,Nan,2,2,2,0,0,1,Marine Le Pen,LePen
2,2,RT @Wyncz_: Voilà ce à quoi j'ai pensé  #GrandDebat #2017LeDebat Et fermez donc un peu! Jmen bats les couilles des 2 frchmt 😉 ,0,2,2,2,0,0,0,None,None
3,3,RT @Jiemdef: Le pouvoir secret de Marine Le Pen ... #2017LeDebat #LeGrandDebat #RendezNousMélenchon #IlsNePasserontPas #Malaise ,Nan,2,2,2,0,0,1,Marine Le Pen,LePen
4,4,RT @CuratPraetor: Kelsen est mort une deuxième fois #2017LeDebat ,0,2,2,2,1,1,1,Kelsen,None
5,5,"RT @TwIttNTIN: Je ressors ce tweet du placard !  #RendezNousMelenchon 
 
#2017LeDebat #LeGrandDebat ",Nan,2,2,2,0,0,1,None,None
6,6,"RT @TwIttNTIN: Je ressors ce tweet du placard !  #RendezNousMelenchon 
 
#2017LeDebat #LeGrandDebat ",Nan,2,2,2,0,0,1,None,None
7,7,RT @vnr54: Il y a un air de ressemblance non ? #2017LeDebat ,1,2,2,2,0,0,0,None,None
8,8,"RT @TwIttNTIN: C qui le responsable de ce fiasco ? 
Celui qui nous a privé de @JLMelenchon au 2nd tour ? 
Qu'il lève la main ! 
#2017LeDeba… ",0,2,2,2,0,1,0,None,None
9,9,"RT @coccinellie77: Emmanuel Macron c'est le candidat de la finance , MARINE LE PEN LA CANDIDATE  DE LA FRANCE #2017LeDebat #LeGrandDebat ",Nan,2,2,2,0,0,0,"Emmanuel Macron,MARINE LE",None
10,10,"RT @coccinellie77: Emmanuel Macron c'est le candidat de la finance , MARINE LE PEN LA CANDIDATE  DE LA FRANCE #2017LeDebat #LeGrandDebat ",Nan,2,2,2,0,0,0,"Emmanuel Macron,MARINE LE",None
11,11,RT @Wyncz_: Voilà ce à quoi j'ai pensé  #GrandDebat #2017LeDebat Et fermez donc un peu! Jmen bats les couilles des 2 frchmt 😉 ,0,2,2,2,0,0,0,None,None
12,12,"RT @Serena_Rnrt: Stratégie de MLP ce soir : 
Se servir de l'attaque pour dissimuler son  programme chimérique #2017LeDebat ",0,2,2,2,1,0,0,"Stratégie,MLP",None
13,13,RT @mathieuklein: Elle est affligeante et effrayante de bout en bout #2017LeDebat. Oubliez vos pudeurs et aux urnes ! #JeVoteMacron ,0,2,2,2,0,0,1,#JeVoteMacron,Macron
14,14,RT @NardineMorano: Marine veut renvoyer les fichés S au FichéSistan ! #2017LeDebat ,0,2,2,2,0,0,1,"Marine,FichéSistan",LePen
15,15,RT @CuratPraetor: Kelsen est mort une deuxième fois #2017LeDebat ,0,2,2,2,1,1,1,Kelsen,None
16,16,RT @Jiemdef: Le pouvoir secret de Marine Le Pen ... #2017LeDebat #LeGrandDebat #RendezNousMélenchon #IlsNePasserontPas #Malaise ,Nan,2,2,2,0,0,1,Marine Le Pen,LePen
17,17,RT @m4ssive_attack: Eh les journalistes vous voulez un coup de main ? #2017LeDebat ,0,2,2,2,0,0,1,None,None
18,18,RT @leovltn: le débat présidentiel c'est un rap contenders #2017LeDebat #GrandDebat # ,Nan,2,2,2,0,0,0,None,None
19,19,RT @Jiemdef: Le pouvoir secret de Marine Le Pen ... #2017LeDebat #LeGrandDebat #RendezNousMélenchon #IlsNePasserontPas #Malaise ,Nan,2,2,2,0,0,1,Marine Le Pen,LePen
20,20,"RT @TwIttNTIN: C qui le responsable de ce fiasco ? 
Celui qui nous a privé de @JLMelenchon au 2nd tour ? 
Qu'il lève la main ! 
#2017LeDeba… ",0,2,2,2,0,1,0,None,None
21,21,RT @SarahQlqChose: #2017LeDébat #MLP2017 n'a rien compris à la loi Macron et au Sénat #Populisme #Alarmisme #Démagogie ,0,2,2,2,0,1,0,"Macron,Sénat",Macron
22,22,"RT @Ash_Antoine: ""Moi je n'y connais rien.""
Première phrase vraie prononcée par Marine le Pen ce soir.
#2017LeDebat #Debat2017 ",0,2,2,2,1,0,0,Marine,LePen
23,23,"RT @TwIttNTIN: C qui le responsable de ce fiasco ? 
Celui qui nous a privé de @JLMelenchon au 2nd tour ? 
Qu'il lève la main ! 
#2017LeDeba… ",0,2,2,2,0,1,0,None,None
24,24,"RT @TwIttNTIN: C qui le responsable de ce fiasco ? 
Celui qui nous a privé de @JLMelenchon au 2nd tour ? 
Qu'il lève la main ! 
#2017LeDeba… ",0,2,2,2,0,1,0,None,None
25,25,RT @vnr54: Il y a un air de ressemblance non ? #2017LeDebat ,1,2,2,2,0,0,0,None,None
26,26,RT @vnr54: Il y a un air de ressemblance non ? #2017LeDebat ,1,2,2,2,0,0,0,None,None
27,27,RT @CuratPraetor: Kelsen est mort une deuxième fois #2017LeDebat ,0,2,2,2,1,1,1,Kelsen,None
28,28,RT @vnr54: Il y a un air de ressemblance non ? #2017LeDebat ,1,2,2,2,0,0,0,None,None
29,29,RT @CuratPraetor: Kelsen est mort une deuxième fois #2017LeDebat ,0,2,2,2,1,1,1,Kelsen,None
30,30,RT @CuratPraetor: Kelsen est mort une deuxième fois #2017LeDebat ,0,2,2,2,1,1,1,Kelsen,None
31,31,RT @CuratPraetor: Kelsen est mort une deuxième fois #2017LeDebat ,0,2,2,2,1,1,1,Kelsen,None
32,32,RT @CuratPraetor: Kelsen est mort une deuxième fois #2017LeDebat ,0,2,2,2,1,1,1,Kelsen,None
33,33,RT @Jiemdef: Le pouvoir secret de Marine Le Pen ... #2017LeDebat #LeGrandDebat #RendezNousMélenchon #IlsNePasserontPas #Malaise ,Nan,2,2,2,0,0,1,Marine Le Pen,LePen
34,34,RT @vnr54: Il y a un air de ressemblance non ? #2017LeDebat ,1,2,2,2,0,0,0,None,None
35,35,RT @vnr54: Il y a un air de ressemblance non ? #2017LeDebat ,1,2,2,2,0,0,0,None,None
36,36,RT @vnr54: Il y a un air de ressemblance non ? #2017LeDebat ,1,2,2,2,0,0,0,None,None
37,37,RT @Wyncz_: Voilà ce à quoi j'ai pensé  #GrandDebat #2017LeDebat Et fermez donc un peu! Jmen bats les couilles des 2 frchmt 😉 ,0,2,2,2,0,0,0,None,None
38,38,RT @vnr54: Il y a un air de ressemblance non ? #2017LeDebat ,1,2,2,2,0,0,0,None,None
39,39,RT @vnr54: Il y a un air de ressemblance non ? #2017LeDebat ,1,2,2,2,0,0,0,None,None
40,40,RT @Wyncz_: Voilà ce à quoi j'ai pensé  #GrandDebat #2017LeDebat Et fermez donc un peu! Jmen bats les couilles des 2 frchmt 😉 ,0,2,2,2,0,0,0,None,None
41,41,RT @vnr54: Il y a un air de ressemblance non ? #2017LeDebat ,1,2,2,2,0,0,0,None,None
42,42,RT @Jiemdef: Le pouvoir secret de Marine Le Pen ... #2017LeDebat #LeGrandDebat #RendezNousMélenchon #IlsNePasserontPas #Malaise ,Nan,2,2,2,0,0,1,Marine Le Pen,LePen
