,text,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin,entities,candidate,dic_rounded,media_tri,media_bin,total
0,#MacronLeaks #MacronGate l'agence Reuters confirme #Macron   via @Reuters #2017LeDebat #MediapartLive #Presidentielle ,2,2,2,0,1,1,"#MacronLeaks,#MacronGate,#Macron",Macron,Nan,2,1,Neu
1,"#MacronLeaks @wikileaks révèle 9Gb de documents , email , photos... sur #Macron 😂 #SansMoiLe7Mai #nilepennimacron…  ",2,2,2,0,0,1,"#MacronLeaks,#Macron,#nilepennimacron",Macron,0,2,0,0
2,  via @youtube#2017LeDebat ,2,2,2,0,1,1,None,None,Nan,2,1,Neu
3,#frontrepublicain ou arrangements? Les vieilles combines ont encore de beaux jours. #SansMoiLe7Mai #JamaisMacron… ,1,2,1,1,1,1,#JamaisMacron,Macron,Nan,1,1,1
4,Courage pour le choix de notre bourreau dimanche 😂 #SansMoiLe7Mai #nilepennimacron #LeGrandDebat… ,2,2,2,0,1,1,"Courage,#nilepennimacron",LePen,Nan,2,1,Neu
5,La CGT va t'elle s'abstenir? #SansMoiLe7Mai #insoumis #nilepennimacron #Presidentielles2017 #LeGrandDebat… ,2,2,2,0,1,0,#nilepennimacron,LePen,0,2,0,0
6,Des preuves du #bayrougate... #SansMoiLe7Mai #nilepennimacron #2017LeDebat #JamaisMacron #jamaislepen… ,2,2,2,0,0,1,"#nilepennimacron,#JamaisMacron,#jamaislepen",LePen,Nan,2,0,Neu
7,"RT @LucssOFFICIEL: C'est d'un ridicule ce débat. Personne s'écoute , Personne. T'as 2 lions qui rugissent et 2 canard qui comptent les point… ",0,2,2,0,0,0,Personne,None,0,1,0,0
8,"RT @BIDUDessinateur: La Tour Eiffel sera illuminée demain , aux couleurs de l'intelligence , disparue tragiquement pendant ce débat #2017LeDé… ",2,2,2,0,1,0,None,None,0,2,0,0
9,"RT @BIDUDessinateur: La Tour Eiffel sera illuminée demain , aux couleurs de l'intelligence , disparue tragiquement pendant ce débat #2017LeDé… ",2,2,2,0,1,0,None,None,0,2,0,0
10,"RT @BIDUDessinateur: La Tour Eiffel sera illuminée demain , aux couleurs de l'intelligence , disparue tragiquement pendant ce débat #2017LeDé… ",2,2,2,0,1,0,None,None,0,2,0,0
11,"RT @BIDUDessinateur: La Tour Eiffel sera illuminée demain , aux couleurs de l'intelligence , disparue tragiquement pendant ce débat #2017LeDé… ",2,2,2,0,1,0,None,None,0,2,0,0
12,"RT @BIDUDessinateur: La Tour Eiffel sera illuminée demain , aux couleurs de l'intelligence , disparue tragiquement pendant ce débat #2017LeDé… ",2,2,2,0,1,0,None,None,0,2,0,0
13,"RT @teleux: Et voilà , 19 intox de Marine Le Pen pendant #2017LeDebat    by #Eric_vds via @c0nvey  ",2,2,2,1,0,1,Marine Le Pen,LePen,Nan,2,1,Neu
14,"Et voilà , 19 intox de Marine Le Pen pendant #2017LeDebat    by #Eric_vds via @c0nvey  ",2,2,2,1,0,1,Marine Le Pen,LePen,Nan,2,1,Neu
15,"RT @_blz_y: @MBolotny On fait un jeu à boire ?
Quand Marine le Pen fait une proposition concrète , on boit. 
Normalement , on rentre tous en… ",2,2,2,1,0,0,Marine,LePen,Nan,2,0,Neu
16,Le débat d'hier me conforte dans mon choix. #2017LeDebat #ElectionPresidentielle2017 ,2,2,2,0,1,0,None,None,Nan,2,0,Neu
17,"RT @JFCros: Marine Le Pen ""a manqué de hauteur"" , selon Jean-Marie Le Pen... Et Dieu sait s'il a l'oeil !!! #LePen #2017LeDébat  ",2,2,0,0,0,0,"Marine Le Pen,#LePen",LePen,0,1,0,0
18,"RT @JFCros: Marine Le Pen ""a manqué de hauteur"" , selon Jean-Marie Le Pen... Et Dieu sait s'il a l'oeil !!! #LePen #2017LeDébat  ",2,2,0,0,0,0,"Marine Le Pen,#LePen",LePen,0,1,0,0
19,"RT @LucssOFFICIEL: C'est d'un ridicule ce débat. Personne s'écoute , Personne. T'as 2 lions qui rugissent et 2 canard qui comptent les point… ",0,2,2,0,0,0,Personne,None,0,1,0,0
20,"après chacun son d , mais venez pas pleurer que vous payer pour les profiteurs du système que met en place la gauche #2017LeDebat ",2,2,2,0,0,1,None,None,0,2,0,0
21,"moi je vois juste une France qui veut rempiler pour 5 ans de gauche , sympa faudra pas se plaindre encore 😊 #2017LeDebat ",2,2,2,1,1,1,None,None,Nan,2,1,Neu
