,Unnamed: 0,text,dic_rounded,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin,entities,candidate
0,0,"RT @annanablogueuse: Les gens qui veulent s'abstenir ou qui veulent voter Le Pen regardez le débat , ressaisissez vous et allez voter Macron… ",Nan,2,2,2,1,1,1,Macron,Macron
1,1,"RT @annanablogueuse: Les gens qui veulent s'abstenir ou qui veulent voter Le Pen regardez le débat , ressaisissez vous et allez voter Macron… ",Nan,2,2,2,1,1,1,Macron,Macron
2,2,"RT @annanablogueuse: Les gens qui veulent s'abstenir ou qui veulent voter Le Pen regardez le débat , ressaisissez vous et allez voter Macron… ",Nan,2,2,2,1,1,1,Macron,Macron
3,3,"RT @annanablogueuse: Les gens qui veulent s'abstenir ou qui veulent voter Le Pen regardez le débat , ressaisissez vous et allez voter Macron… ",Nan,2,2,2,1,1,1,Macron,Macron
4,4,"RT @annanablogueuse: Les gens qui veulent s'abstenir ou qui veulent voter Le Pen regardez le débat , ressaisissez vous et allez voter Macron… ",Nan,2,2,2,1,1,1,Macron,Macron
5,5,"RT @annanablogueuse: Les gens qui veulent s'abstenir ou qui veulent voter Le Pen regardez le débat , ressaisissez vous et allez voter Macron… ",Nan,2,2,2,1,1,1,Macron,Macron
6,6,"RT @annanablogueuse: Les gens qui veulent s'abstenir ou qui veulent voter Le Pen regardez le débat , ressaisissez vous et allez voter Macron… ",Nan,2,2,2,1,1,1,Macron,Macron
7,7,"RT @annanablogueuse: Les gens qui veulent s'abstenir ou qui veulent voter Le Pen regardez le débat , ressaisissez vous et allez voter Macron… ",Nan,2,2,2,1,1,1,Macron,Macron
8,8,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1,None,None
9,9,"RT @annanablogueuse: Les gens qui veulent s'abstenir ou qui veulent voter Le Pen regardez le débat , ressaisissez vous et allez voter Macron… ",Nan,2,2,2,1,1,1,Macron,Macron
10,10,"RT @annanablogueuse: Les gens qui veulent s'abstenir ou qui veulent voter Le Pen regardez le débat , ressaisissez vous et allez voter Macron… ",Nan,2,2,2,1,1,1,Macron,Macron
11,11,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1,None,None
12,12,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1,None,None
13,13,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1,None,None
14,14,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1,None,None
15,15,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1,None,None
16,16,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1,None,None
17,17,#JeVote #Avote #2017LeDebat #Presidentielle2017 #DevoirDeCitoyen ,Nan,2,2,2,0,0,1,None,None
18,18,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1,None,None
19,19,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1,None,None
20,20,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1,None,None
21,21,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1,None,None
22,22,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1,None,None
23,23,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1,None,None
24,24,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1,None,None
25,25,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1,None,None
26,26,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1,None,None
27,27,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1,None,None
