,Unnamed: 0,text,dic_rounded,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin,entities,candidate
0,0,#MacronLeaks #MacronGate l'agence Reuters confirme #Macron   via @Reuters #2017LeDebat #MediapartLive #Presidentielle ,Nan,2,2,2,0,1,1,"#MacronLeaks,#MacronGate,#Macron",Macron
1,1,"#MacronLeaks @wikileaks révèle 9Gb de documents , email , photos... sur #Macron 😂 #SansMoiLe7Mai #nilepennimacron…  ",0,2,2,2,0,0,1,"#MacronLeaks,#Macron,#nilepennimacron",Macron
2,2,  via @youtube#2017LeDebat ,Nan,2,2,2,0,1,1,None,None
3,3,#frontrepublicain ou arrangements? Les vieilles combines ont encore de beaux jours. #SansMoiLe7Mai #JamaisMacron… ,Nan,1,2,1,1,1,1,#JamaisMacron,Macron
4,4,Courage pour le choix de notre bourreau dimanche 😂 #SansMoiLe7Mai #nilepennimacron #LeGrandDebat… ,Nan,2,2,2,0,1,1,"Courage,#nilepennimacron",LePen
5,5,La CGT va t'elle s'abstenir? #SansMoiLe7Mai #insoumis #nilepennimacron #Presidentielles2017 #LeGrandDebat… ,0,2,2,2,0,1,0,#nilepennimacron,LePen
6,6,Des preuves du #bayrougate... #SansMoiLe7Mai #nilepennimacron #2017LeDebat #JamaisMacron #jamaislepen… ,Nan,2,2,2,0,0,1,"#nilepennimacron,#JamaisMacron,#jamaislepen",LePen
7,7,"RT @LucssOFFICIEL: C'est d'un ridicule ce débat. Personne s'écoute , Personne. T'as 2 lions qui rugissent et 2 canard qui comptent les point… ",0,0,2,2,0,0,0,Personne,None
8,8,"RT @BIDUDessinateur: La Tour Eiffel sera illuminée demain , aux couleurs de l'intelligence , disparue tragiquement pendant ce débat #2017LeDé… ",0,2,2,2,0,1,0,None,None
9,9,"RT @BIDUDessinateur: La Tour Eiffel sera illuminée demain , aux couleurs de l'intelligence , disparue tragiquement pendant ce débat #2017LeDé… ",0,2,2,2,0,1,0,None,None
10,10,"RT @BIDUDessinateur: La Tour Eiffel sera illuminée demain , aux couleurs de l'intelligence , disparue tragiquement pendant ce débat #2017LeDé… ",0,2,2,2,0,1,0,None,None
11,11,"RT @BIDUDessinateur: La Tour Eiffel sera illuminée demain , aux couleurs de l'intelligence , disparue tragiquement pendant ce débat #2017LeDé… ",0,2,2,2,0,1,0,None,None
12,12,"RT @BIDUDessinateur: La Tour Eiffel sera illuminée demain , aux couleurs de l'intelligence , disparue tragiquement pendant ce débat #2017LeDé… ",0,2,2,2,0,1,0,None,None
13,13,"RT @teleux: Et voilà , 19 intox de Marine Le Pen pendant #2017LeDebat    by #Eric_vds via @c0nvey  ",Nan,2,2,2,1,0,1,Marine Le Pen,LePen
14,14,"Et voilà , 19 intox de Marine Le Pen pendant #2017LeDebat    by #Eric_vds via @c0nvey  ",Nan,2,2,2,1,0,1,Marine Le Pen,LePen
15,15,"RT @_blz_y: @MBolotny On fait un jeu à boire ?
Quand Marine le Pen fait une proposition concrète , on boit. 
Normalement , on rentre tous en… ",Nan,2,2,2,1,0,0,Marine,LePen
16,16,Le débat d'hier me conforte dans mon choix. #2017LeDebat #ElectionPresidentielle2017 ,Nan,2,2,2,0,1,0,None,None
17,17,"RT @JFCros: Marine Le Pen ""a manqué de hauteur"" , selon Jean-Marie Le Pen... Et Dieu sait s'il a l'oeil !!! #LePen #2017LeDébat  ",0,2,2,0,0,0,0,"Marine Le Pen,#LePen",LePen
18,18,"RT @JFCros: Marine Le Pen ""a manqué de hauteur"" , selon Jean-Marie Le Pen... Et Dieu sait s'il a l'oeil !!! #LePen #2017LeDébat  ",0,2,2,0,0,0,0,"Marine Le Pen,#LePen",LePen
19,19,"RT @LucssOFFICIEL: C'est d'un ridicule ce débat. Personne s'écoute , Personne. T'as 2 lions qui rugissent et 2 canard qui comptent les point… ",0,0,2,2,0,0,0,Personne,None
20,20,"après chacun son d , mais venez pas pleurer que vous payer pour les profiteurs du système que met en place la gauche #2017LeDebat ",0,2,2,2,0,0,1,None,None
21,21,"moi je vois juste une France qui veut rempiler pour 5 ans de gauche , sympa faudra pas se plaindre encore 😊 #2017LeDebat ",Nan,2,2,2,1,1,1,None,None
22,22,"RT @JFCros: Marine Le Pen ""a manqué de hauteur"" , selon Jean-Marie Le Pen... Et Dieu sait s'il a l'oeil !!! #LePen #2017LeDébat  ",0,2,2,0,0,0,0,"Marine Le Pen,#LePen",LePen
23,23,La pitoyable défense par le mensonge de @MLP_officiel au #GrandDebat #2017LeDebat ,0,2,2,2,0,0,1,None,None
