,Unnamed: 0,text,dic_rounded,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin,entities,candidate
0,0,RT @FrVerre: Il faut se rappeler que le 1er à parler d'un prétendu compte caché c'est Macron lui-même #2017LeDebat #MacronGate ,Nan,2,2,0,0,0,0,"Macron,#MacronGate",Macron
1,1,"RT @david_rachline: ""Marine a mis ce soir M. #Macron face à ses responsabilités : oui , il a eu le soutien de l'UOIF , et c'est scandaleux !""… ",Nan,2,2,2,0,0,0,#Macron,Macron
2,2,"RT @Arielfromparis: "" Moi président de la république , je ré-ouvrirais l'enquête sur la mort de TuPac ! "" 

#2017LeDebat 
#GrandDebat ",0,2,2,2,0,0,1,TuPac,None
3,3,"RT @PBLVofficiel: / #Mistral Info / Le débat des élections a eu lieu ds #PBLV ! Et le grand gagnant est ... #2017LeDebat #Debat2017

,andree peigne ,2 ,NaN ,43.935 ,6.068
2017-05-07 09:17:01 ,""/ #Mistral Info / Le débat des élections a eu lieu ds #PBLV ! Et le grand gagnant est ... #2017LeDebat #Debat2017

 ",1,2,2,2,0,0,0,NaN,None
4,4,"RT @vgoyet: Contrairement à ce que Marine Le Pen raconte , les communes appliquent progressivement la loi de 2005 sur le handicap. #2017LeDé… ",0,2,2,2,0,0,1,None,None
5,5,"RT @LeNomDeLaRose1: le système Macron c'est comme ton patron ,il t'exploite ,tu le détestes ,mais tu n'as pas le courage de changer d'entrepri… ",1,2,2,2,0,0,0,None,None
6,6,"RT @TeamMarcheurs: ❌ D'après les derniers chiffres le vote blanc favorise largement #Lepen alors stop #BlancMarine 

#Albi #Macron #2017LeD… ",1,2,2,2,1,1,1,"#Lepen,#BlancMarine,#Macron",LePen
7,7,"RT @olivier_cours: @rglucks1 @inescroquable_ Elle perd toute crédibilité ,totalement dépassée sur chaque dossier! Macron se balade ,il démont… ",0,2,2,2,0,0,0,None,None
8,8,"RT @CCastaner: ""Pour être Président , il vaut mieux avoir réponse à toutes les questions. #LePen n'avait réponse à rien."" @franceinfo #2017L… ",0,2,2,0,0,0,0,#LePen,LePen
9,9,"RT @TeamMarcheurs: Contre une charge de kamikaze de #Lepen Nous avons la lucidité de #Macron !
#jevoteMacron #2017LeDebat  ",0,2,2,2,0,0,1,"#Lepen,#Macron,#jevoteMacron",Macron
10,10,"RT @RenaudMuselier: Choisir le mensonge , le vrai slogan du #FN! #VéritésSurlEurope
#2017LeDebat  #Présidentielle2017  ",0,2,2,1,1,1,1,None,None
11,11,"RT @RenaudMuselier: Choisir le mensonge , le vrai slogan du #FN ! #VéritésSurlEurope
#2017LeDebat  #Présidentielle2017  ",0,2,2,1,1,1,1,None,None
12,12,"RT @RenaudMuselier: Choisir le mensonge , le vrai slogan du #FN! #VéritésSurlEurope
#2017LeDebat  #Présidentielle2017 #frontières #Sécurité… ",0,2,2,1,1,1,1,None,None
13,13,"RT @RenaudMuselier: Choisir le mensonge , le vrai slogan du #FN! #VéritésSurlEurope
#2017LeDebat #Presidentielle2017 #Brexit #Frexit #Europe… ",0,2,2,1,1,1,1,None,None
14,14,RT @aecLaCiotat: Elle est inépuisable la vague qui nous porte ! @JLMelenchon  #RendezNousMelenchon #2017LeDebat   htt… ,0,2,2,2,0,0,1,None,None
15,15,"RT @TeamMarcheurs: ❌ D'après les derniers chiffres le vote blanc favorise largement #Lepen alors stop #BlancMarine 

#Albi #Macron #2017LeD… ",1,2,2,2,1,1,1,"#Lepen,#BlancMarine,#Macron",LePen
16,16,RT @Michy13260: Vers quel candidat s'orienterait votre choix suite à ce #GrandDebat ? #2017LeDebat #Presidentielle2017 ,Nan,2,1,2,0,1,0,None,None
17,17,RT @ManuBrewski: Résumé de la soirée pour #MarineLePen...#2017LeDebat ,Nan,2,2,2,1,0,0,#MarineLePen,LePen
18,18,RT @Xecolo: #lepen est tellement venere de son crash du #2017LeDebat qu'il ne lui reste plus que des #FNFakeNews  ,0,2,2,1,0,1,0,#lepen,LePen
19,19,"RT @TeamMarcheurs: C'est quoi cette histoire de double monnaie Mme #Lepen... 

🇪🇺 #2017LeDébat #jevotemacron #europe #leDebat2017 #GrandDeb… ",Nan,0,0,0,0,0,0,"#Lepen,#jevotemacron",None
20,20,"RT @TeamMarcheurs: ❌ D'après les derniers chiffres le vote blanc favorise largement #Lepen alors stop #BlancMarine 

#Albi #Macron #2017LeD… ",1,2,2,2,1,1,1,"#Lepen,#BlancMarine,#Macron",LePen
21,21,"RT @TeamMarcheurs: ❌ D'après les derniers chiffres le vote blanc favorise largement #Lepen alors stop #BlancMarine 

#Albi #Macron #2017LeD… ",1,2,2,2,1,1,1,"#Lepen,#BlancMarine,#Macron",LePen
22,22,"RT @TeamMarcheurs: ❌ D'après les derniers chiffres le vote blanc favorise largement #Lepen alors stop #BlancMarine 

#Albi #Macron #2017LeD… ",1,2,2,2,1,1,1,"#Lepen,#BlancMarine,#Macron",LePen
23,23,RT @SyloAngels: #2017LeDebat allez voir ce lien ,Nan,2,2,2,1,1,1,None,None
24,24,"RT @david_rachline: ""Emmanuel #Macron souhaite poursuivre l'immigration massive telle qu'elle existe depuis des décennies."" #2017LeDébat @B… ",0,2,2,2,0,0,0,"Emmanuel,#Macron",Macron
25,25,"RT @david_rachline: ""Marine a mis ce soir M. #Macron face à ses responsabilités : oui , il a eu le soutien de l'UOIF , et c'est scandaleux !""… ",Nan,2,2,2,0,0,0,#Macron,Macron
26,26,"RT @david_rachline: ""Marine a mis ce soir M. #Macron face à ses responsabilités : oui , il a eu le soutien de l'UOIF , et c'est scandaleux !""… ",Nan,2,2,2,0,0,0,#Macron,Macron
27,27,"RT @david_rachline: ""Marine a mis ce soir M. #Macron face à ses responsabilités : oui , il a eu le soutien de l'UOIF , et c'est scandaleux !""… ",Nan,2,2,2,0,0,0,#Macron,Macron
