,text,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin,dic_rounded,media_tri,media_bin,total
0,"Le niveau du débat de #LEmissionPolitique a surclassé celui de #2017LeDebat  compliment pour nos experts , inquiétude pour notre avenir 🇫🇷 ",0,2,2,0,1,0,Nan,1,0,-
1,RT @Timo_30: Nathalie Saint-Cricq elle peut pas en placer une mdrr #2017LeDebat #GrandDebat ,2,2,2,0,0,0,Nan,2,0,Neu
2,RT @Timo_30: Nathalie Saint-Cricq elle peut pas en placer une mdrr #2017LeDebat #GrandDebat ,2,2,2,0,0,0,Nan,2,0,Neu
3,"RT @Samuel_Lafont: .@ruthelkrief oublie totalement son job de journaliste et milite ouvertement pour Macron sur @BFMTV.

#JamaisMacron #201… ",2,2,2,0,0,1,0,2,0,0
4,RT @Timo_30: Nathalie Saint-Cricq elle peut pas en placer une mdrr #2017LeDebat #GrandDebat ,2,2,2,0,0,0,Nan,2,0,Neu
5,"RT @Lizerunn: Le Pen mensonges , outrance et agressivité
Macron mépris de classe , misère et casse sociale
#2017LeDebat niveau de merde
#Sans… ",0,2,0,0,1,0,0,1,0,0
6,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
7,"RT @NAIR034: Résumé du débat : 
LePen : ""T'es nul !""
Macron : ""Toi même !""
#2017LeDebat ",2,2,2,0,1,0,0,2,0,0
8,"RT @Samuel_Lafont: Candidate en 2007 , partout avec le candidat en 2017. Vous croyez qu'on ne reverra @RoyalSegolene qu'en 2027 ? #JamaisMac… ",2,2,2,0,0,0,Nan,2,0,Neu
9,RT @jo_ortuno: Moi quand on me raconte un potin et que je le savais déjà #2017LeDebat ,2,2,2,1,1,1,Nan,2,1,Neu
10,"RT @LiugaStone: *Je pourrais me déshabiller , monter sur le pupitre et procéder à un helicobite pour attirer leur attention... Je veux exist… ",2,2,2,0,1,0,0,2,0,0
11,RT @Samuel_Lafont: Les oppositions qui traversent le pays sortent amplifiées de ce débat. Ça promet un lendemain de présidentielle sous ten… ,2,2,2,0,1,1,Nan,2,1,Neu
12,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
13,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
14,"RT @LiugaStone: *Je pourrais me déshabiller , monter sur le pupitre et procéder à un helicobite pour attirer leur attention... Je veux exist… ",2,2,2,0,1,0,0,2,0,0
15,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
16,RT @AntenneDanger: #2017LeDebat@EmmanuelMacron @MLP_officiel Que ferez-vous pour limiter notre exposition aux #ondes électromagnétiques ? #… ,2,2,2,0,0,1,0,2,0,0
17,"RT @Samuel_Lafont: Voilà que Macron nous explique que c'est notre faute s'il y a du terrorisme islamique sur notre sol...

#JamaisMacron #2… ",2,2,2,0,0,0,0,2,0,0
18,RT @LiugaStone: #2017LeDebat ,2,2,2,0,0,1,Nan,2,0,Neu
19,"RT @RevoOfficiel: Quand elle te regarde comme ça, t'as tout gagné ! #2017LeDebat  ",2,2,2,1,1,0,1,2,1,1
20,"RT @Mariaa_DZ1: - Et Fillon dans tout ça?
-Fillon ,rends l'argent !
- ...
#2017LeDebat  ",2,2,2,0,1,0,0,2,0,0
21,"- Et Fillon dans tout ça?
-Fillon ,rends l'argent !
- ...
#2017LeDebat  ",2,2,2,0,1,0,0,2,0,0
22,"RT @Lizerunn: Le Pen mensonges , outrance et agressivité
Macron mépris de classe , misère et casse sociale
#2017LeDebat niveau de merde
#Sans… ",0,2,0,0,1,0,0,1,0,0
23,"RT @CookiesFR: Macron menace de quitter le #2017LeDebat  si Marine est trop virulente. Et face à Daesh , il prévoit aussi de leur donner ses… ",2,2,2,0,0,0,0,2,0,0
24,Emmanuel Macron - #2017LeDébat en 5 minutes ! ,2,2,2,1,0,1,Nan,2,1,Neu
25,"RT @Sarkoziste: Le vrai visage de l'extrême-droite : ça fait peur ! #2017LeDebat #FN #Presidentielle2017 
 ",0,2,0,0,0,0,Nan,1,0,-
26,#LEmissionPolitique #2017LeDebat @BFMTV @CNEWS Chers medias 😇 ,2,2,2,0,0,1,Nan,2,0,Neu
27,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
28,RT @Timo_30: Nathalie Saint-Cricq elle peut pas en placer une mdrr #2017LeDebat #GrandDebat ,2,2,2,0,0,0,Nan,2,0,Neu
29,RT @ZeldaDorant: #2017LeDebat Marine ne répond pas aux questions et Macron ne fait que lui répéter qu'elle ne répond pas aux questions. Que… ,2,2,2,0,0,0,0,2,0,0
30,RT @Timo_30: Nathalie Saint-Cricq elle peut pas en placer une mdrr #2017LeDebat #GrandDebat ,2,2,2,0,0,0,Nan,2,0,Neu
31,"RT @Sarkoziste: Encore un mensonge de @MLP_officiel ! #FN #2017LeDebat 
Via @lemondefr  ",2,2,2,0,1,1,0,2,1,-
32,"RT @Sarkoziste: Et un mensonge de @MLP_officiel ! #FN #2017LeDebat 
Via @lemondefr  ",2,2,2,0,1,1,0,2,1,-
33,"RT @Lizerunn: Le Pen mensonges , outrance et agressivité
Macron mépris de classe , misère et casse sociale
#2017LeDebat niveau de merde
#Sans… ",0,2,0,0,1,0,0,1,0,0
34,"RT @Lizerunn: Le Pen mensonges , outrance et agressivité
Macron mépris de classe , misère et casse sociale
#2017LeDebat niveau de merde
#Sans… ",0,2,0,0,1,0,0,1,0,0
35,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
36,"RT @Lizerunn: Le Pen mensonges , outrance et agressivité
Macron mépris de classe , misère et casse sociale
#2017LeDebat niveau de merde
#Sans… ",0,2,0,0,1,0,0,1,0,0
37,"RT @Lizerunn: Le Pen mensonges , outrance et agressivité
Macron mépris de classe , misère et casse sociale
#2017LeDebat niveau de merde
#Sans… ",0,2,0,0,1,0,0,1,0,0
38,"RT @Lizerunn: Le Pen mensonges , outrance et agressivité
Macron mépris de classe , misère et casse sociale
#2017LeDebat niveau de merde
#Sans… ",0,2,0,0,1,0,0,1,0,0
39,#2017LeDebat aux vues des  tweets faut absolument que je regarde en replay le debat ,2,2,2,0,1,0,Nan,2,0,Neu
40,RT @m_alvaro34: Le débat qu'on aurait dût avoir #GrandDebat #2017ledebat ,2,2,2,0,0,0,Nan,2,0,Neu
41,RT @m_alvaro34: Le débat qu'on aurait dût avoir #GrandDebat #2017ledebat ,2,2,2,0,0,0,Nan,2,0,Neu
42,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
43,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
44,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
45,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
46,RT @spread34: #2017LeDebat on va quand même voter dimanche ? Car tout m'a l'air d'avoir été programmé depuis longtemps...😉 ,2,2,2,0,1,0,0,2,0,0
47,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
48,#2017LeDebat on va quand même voter dimanche ? Car tout m'a l'air d'avoir été programmé depuis longtemps...😉 ,2,2,2,0,1,0,0,2,0,0
49,RT @Timo_30: Nathalie Saint-Cricq elle peut pas en placer une mdrr #2017LeDebat #GrandDebat ,2,2,2,0,0,0,Nan,2,0,Neu
50,"RT @LiugaStone: *Je pourrais me déshabiller , monter sur le pupitre et procéder à un helicobite pour attirer leur attention... Je veux exist… ",2,2,2,0,1,0,0,2,0,0
51,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
52,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
53,"RT @RevoOfficiel: HAHAHA ""Poudre de perlimpinpin ! 😂 GG @Freezze #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
54,"RT @LiugaStone: *Je pourrais me déshabiller , monter sur le pupitre et procéder à un helicobite pour attirer leur attention... Je veux exist… ",2,2,2,0,1,0,0,2,0,0
55,RT @Timo_30: Nathalie Saint-Cricq elle peut pas en placer une mdrr #2017LeDebat #GrandDebat ,2,2,2,0,0,0,Nan,2,0,Neu
56,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
57,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
58,"RT @ZeldaDorant: #2017LeDebat J'aimerais que désormais , nous appelions tous Marine ""La Schlague"" et Macron ""Perlimpinpin"". ",1,2,0,1,1,1,Nan,1,1,1
59,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
60,RT @Q_Landry: #2017LeDebat Sans la moindre ambiguïté ! Il l'a dominé sur tous les sujets 🚀🚀 plus que jamais #jevotemacron 🇫🇷 #LEDEBAT2017 h… ,2,2,2,0,1,0,0,2,0,0
61,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
62,RT @Timo_30: Nathalie Saint-Cricq elle peut pas en placer une mdrr #2017LeDebat #GrandDebat ,2,2,2,0,0,0,Nan,2,0,Neu
63,"RT @LiugaStone: *Je pourrais me déshabiller , monter sur le pupitre et procéder à un helicobite pour attirer leur attention... Je veux exist… ",2,2,2,0,1,0,0,2,0,0
64,"RT @Lizerunn: Pour une fois Mélenchon s'est trompé :
Le Pen n'est pas semi démente , elle est totalement débile !
 #2017ledebat ",2,2,2,0,1,1,0,2,1,-
65,RT @TheoFvd: Le FN c'est tjr la meme chose divulguer la haine a son adversaire le critiquer : mais elle ne propose aucunes mesure concrètes… ,0,2,0,0,0,0,0,1,0,0
66,"RT @LiugaStone: *Je pourrais me déshabiller , monter sur le pupitre et procéder à un helicobite pour attirer leur attention... Je veux exist… ",2,2,2,0,1,0,0,2,0,0
67,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
68,"RT @Sarkoziste: Le vrai visage de l'extrême-droite : ça fait peur ! #2017LeDebat #FN #Presidentielle2017 
 ",0,2,0,0,0,0,Nan,1,0,-
69,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
70,RT @Timo_30: Nathalie Saint-Cricq elle peut pas en placer une mdrr #2017LeDebat #GrandDebat ,2,2,2,0,0,0,Nan,2,0,Neu
71,"RT @LiugaStone: *Je pourrais me déshabiller , monter sur le pupitre et procéder à un helicobite pour attirer leur attention... Je veux exist… ",2,2,2,0,1,0,0,2,0,0
72,"RT @Samuel_Lafont: ""Un jeune"". Pouvez-vs arrêter d'utiliser le terme ""jeune"" pour désigner les délinquants @EmmanuelMacron ? Merci.
#Jamais… ",2,2,2,0,1,0,0,2,0,0
73,RT @lorenzosalvador: C'est sérieusement @MLP_officiel qui parle du monde associatif et bénévole ? Son parti qui persécute le secours popula… ,2,2,0,0,0,0,1,1,0,1
74,@Marion_M_Le_Pen @bayrou @Villepin Ils n'ont pas de temps à perdre avec des losers #2017LeDebat ,2,2,2,0,0,1,0,2,0,0
75,RT @Timo_30: Nathalie Saint-Cricq elle peut pas en placer une mdrr #2017LeDebat #GrandDebat ,2,2,2,0,0,0,Nan,2,0,Neu
76,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
77,RT @Timo_30: Nathalie Saint-Cricq elle peut pas en placer une mdrr #2017LeDebat #GrandDebat ,2,2,2,0,0,0,Nan,2,0,Neu
78,"RT @Samuel_Lafont: ""Un jeune"". Pouvez-vs arrêter d'utiliser le terme ""jeune"" pour désigner les délinquants @EmmanuelMacron ? Merci.
#Jamais… ",2,2,2,0,1,0,0,2,0,0
79,#2017LeDébat  ,2,2,2,0,0,1,Nan,2,0,Neu
80,"RT @LiugaStone: *Je pourrais me déshabiller , monter sur le pupitre et procéder à un helicobite pour attirer leur attention... Je veux exist… ",2,2,2,0,1,0,0,2,0,0
81,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
82,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
83,"RT @RevoOfficiel: HAHAHA ""Poudre de perlimpinpin ! 😂 GG @Freezze #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
84,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
85,"RT @LiugaStone: *Je pourrais me déshabiller , monter sur le pupitre et procéder à un helicobite pour attirer leur attention... Je veux exist… ",2,2,2,0,1,0,0,2,0,0
86,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
87,RT @Timo_30: Nathalie Saint-Cricq elle peut pas en placer une mdrr #2017LeDebat #GrandDebat ,2,2,2,0,0,0,Nan,2,0,Neu
88,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
89,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
90,RT @Timo_30: Nathalie Saint-Cricq elle peut pas en placer une mdrr #2017LeDebat #GrandDebat ,2,2,2,0,0,0,Nan,2,0,Neu
91,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
92,"RT @Samuel_Lafont: Voilà que Macron nous explique que c'est notre faute s'il y a du terrorisme islamique sur notre sol...

#JamaisMacron #2… ",2,2,2,0,0,0,0,2,0,0
93,"RT @Samuel_Lafont: .@ruthelkrief oublie totalement son job de journaliste et milite ouvertement pour Macron sur @BFMTV.

#JamaisMacron #201… ",2,2,2,0,0,1,0,2,0,0
94,"RT @LiugaStone: *Je pourrais me déshabiller , monter sur le pupitre et procéder à un helicobite pour attirer leur attention... Je veux exist… ",2,2,2,0,1,0,0,2,0,0
95,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
96,RT @JeanPierreGrand: Je n'ai jamais voté FN et ça va continuer. #2017LeDebat ,2,2,2,1,1,1,Nan,2,1,Neu
97,"RT @LiugaStone: *Je pourrais me déshabiller , monter sur le pupitre et procéder à un helicobite pour attirer leur attention... Je veux exist… ",2,2,2,0,1,0,0,2,0,0
98,"#2017LeDebat Macron sera notre président, il la démontré hier  ! Pas la peine de s'agiter pour rien ",2,2,2,0,0,0,0,2,0,0
99,"RT @LiugaStone: *Je pourrais me déshabiller , monter sur le pupitre et procéder à un helicobite pour attirer leur attention... Je veux exist… ",2,2,2,0,1,0,0,2,0,0
100,"RT @LiugaStone: *Je pourrais me déshabiller , monter sur le pupitre et procéder à un helicobite pour attirer leur attention... Je veux exist… ",2,2,2,0,1,0,0,2,0,0
101,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
102,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
103,RT @lorenzosalvador: La facho #LePen défend le retour de l'écu ! #2017LeDebat ,2,2,2,0,0,1,Nan,2,0,Neu
104,RT @Timo_30: Nathalie Saint-Cricq elle peut pas en placer une mdrr #2017LeDebat #GrandDebat ,2,2,2,0,0,0,Nan,2,0,Neu
105,"RT @LiugaStone: *Je pourrais me déshabiller , monter sur le pupitre et procéder à un helicobite pour attirer leur attention... Je veux exist… ",2,2,2,0,1,0,0,2,0,0
106,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
107,"RT @Cerbxre: Cette photo résume le débat d'hier soir.
#2017LeDebat  ",2,2,2,1,0,0,Nan,2,0,Neu
108,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
109,"RT @LiugaStone: *Je pourrais me déshabiller , monter sur le pupitre et procéder à un helicobite pour attirer leur attention... Je veux exist… ",2,2,2,0,1,0,0,2,0,0
110,"RT @Samuel_Lafont: ""Un jeune"". Pouvez-vs arrêter d'utiliser le terme ""jeune"" pour désigner les délinquants @EmmanuelMacron ? Merci.
#Jamais… ",2,2,2,0,1,0,0,2,0,0
111,RT @TousResistants: Les deux poussent à l’abstention. C’est dingue autant d’incompétence en 2 personnes! Qu’ils essayent la vraie vie ces g… ,2,2,2,0,0,1,Nan,2,0,Neu
112,"RT @ZeldaDorant: #2017LeDebat J'aimerais que désormais , nous appelions tous Marine ""La Schlague"" et Macron ""Perlimpinpin"". ",1,2,0,1,1,1,Nan,1,1,1
113,RT @Timo_30: Nathalie Saint-Cricq elle peut pas en placer une mdrr #2017LeDebat #GrandDebat ,2,2,2,0,0,0,Nan,2,0,Neu
114,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
115,RT @Timo_30: Nathalie Saint-Cricq elle peut pas en placer une mdrr #2017LeDebat #GrandDebat ,2,2,2,0,0,0,Nan,2,0,Neu
116,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
117,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
118,RT @Timo_30: Nathalie Saint-Cricq elle peut pas en placer une mdrr #2017LeDebat #GrandDebat ,2,2,2,0,0,0,Nan,2,0,Neu
119,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",2,2,2,0,0,1,Nan,2,0,Neu
