,Unnamed: 0,text,dic_rounded,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin,entities,candidate
0,0,"Le niveau du débat de #LEmissionPolitique a surclassé celui de #2017LeDebat  compliment pour nos experts , inquiétude pour notre avenir 🇫🇷 ",Nan,0,2,2,0,1,0,None,None
1,1,RT @Timo_30: Nathalie Saint-Cricq elle peut pas en placer une mdrr #2017LeDebat #GrandDebat ,Nan,2,2,2,0,0,0,Nathalie,None
2,2,RT @Timo_30: Nathalie Saint-Cricq elle peut pas en placer une mdrr #2017LeDebat #GrandDebat ,Nan,2,2,2,0,0,0,Nathalie,None
3,3,"RT @Samuel_Lafont: .@ruthelkrief oublie totalement son job de journaliste et milite ouvertement pour Macron sur @BFMTV.

#JamaisMacron #201… ",0,2,2,2,0,0,1,"Macron,#JamaisMacron",Macron
4,4,RT @Timo_30: Nathalie Saint-Cricq elle peut pas en placer une mdrr #2017LeDebat #GrandDebat ,Nan,2,2,2,0,0,0,Nathalie,None
5,5,"RT @Lizerunn: Le Pen mensonges , outrance et agressivité
Macron mépris de classe , misère et casse sociale
#2017LeDebat niveau de merde
#Sans… ",0,0,2,0,0,1,0,Macron,Macron
6,6,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",Nan,2,2,2,0,0,1,None,None
7,7,"RT @NAIR034: Résumé du débat : 
LePen : ""T'es nul !""
Macron : ""Toi même !""
#2017LeDebat ",0,2,2,2,0,1,0,None,None
8,8,"RT @Samuel_Lafont: Candidate en 2007 , partout avec le candidat en 2017. Vous croyez qu'on ne reverra @RoyalSegolene qu'en 2027 ? #JamaisMac… ",Nan,2,2,2,0,0,0,Candidate,None
9,9,RT @jo_ortuno: Moi quand on me raconte un potin et que je le savais déjà #2017LeDebat ,Nan,2,2,2,1,1,1,None,None
10,10,"RT @LiugaStone: *Je pourrais me déshabiller , monter sur le pupitre et procéder à un helicobite pour attirer leur attention... Je veux exist… ",0,2,2,2,0,1,0,None,None
11,11,RT @Samuel_Lafont: Les oppositions qui traversent le pays sortent amplifiées de ce débat. Ça promet un lendemain de présidentielle sous ten… ,Nan,2,2,2,0,1,1,None,None
12,12,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",Nan,2,2,2,0,0,1,None,None
13,13,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",Nan,2,2,2,0,0,1,None,None
14,14,"RT @LiugaStone: *Je pourrais me déshabiller , monter sur le pupitre et procéder à un helicobite pour attirer leur attention... Je veux exist… ",0,2,2,2,0,1,0,None,None
15,15,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",Nan,2,2,2,0,0,1,None,None
16,16,RT @AntenneDanger: #2017LeDebat@EmmanuelMacron @MLP_officiel Que ferez-vous pour limiter notre exposition aux #ondes électromagnétiques ? #… ,0,2,2,2,0,0,1,@EmmanuelMacron,Macron
17,17,"RT @Samuel_Lafont: Voilà que Macron nous explique que c'est notre faute s'il y a du terrorisme islamique sur notre sol...

#JamaisMacron #2… ",0,2,2,2,0,0,0,#JamaisMacron,Macron
18,18,RT @LiugaStone: #2017LeDebat ,Nan,2,2,2,0,0,1,None,None
19,19,"RT @RevoOfficiel: Quand elle te regarde comme ça, t'as tout gagné ! #2017LeDebat  ",1,2,2,2,1,1,0,None,None
20,20,"RT @Mariaa_DZ1: - Et Fillon dans tout ça?
-Fillon ,rends l'argent !
- ...
#2017LeDebat  ",0,2,2,2,0,1,0,"Fillon,Fillon",None
21,21,"- Et Fillon dans tout ça?
-Fillon ,rends l'argent !
- ...
#2017LeDebat  ",0,2,2,2,0,1,0,"Fillon,Fillon",None
22,22,"RT @Lizerunn: Le Pen mensonges , outrance et agressivité
Macron mépris de classe , misère et casse sociale
#2017LeDebat niveau de merde
#Sans… ",0,0,2,0,0,1,0,Macron,Macron
23,23,"RT @CookiesFR: Macron menace de quitter le #2017LeDebat  si Marine est trop virulente. Et face à Daesh , il prévoit aussi de leur donner ses… ",0,2,2,2,0,0,0,"Macron,Marine,Daesh",None
24,24,Emmanuel Macron - #2017LeDébat en 5 minutes ! ,Nan,2,2,2,1,0,1,Emmanuel Macron,Macron
25,25,"RT @Sarkoziste: Le vrai visage de l'extrême-droite : ça fait peur ! #2017LeDebat #FN #Presidentielle2017 
 ",Nan,0,2,0,0,0,0,None,None
26,26,#LEmissionPolitique #2017LeDebat @BFMTV @CNEWS Chers medias 😇 ,Nan,2,2,2,0,0,1,None,None
27,27,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",Nan,2,2,2,0,0,1,None,None
28,28,RT @Timo_30: Nathalie Saint-Cricq elle peut pas en placer une mdrr #2017LeDebat #GrandDebat ,Nan,2,2,2,0,0,0,Nathalie,None
29,29,RT @ZeldaDorant: #2017LeDebat Marine ne répond pas aux questions et Macron ne fait que lui répéter qu'elle ne répond pas aux questions. Que… ,0,2,2,2,0,0,0,"Marine,Macron",None
30,30,RT @Timo_30: Nathalie Saint-Cricq elle peut pas en placer une mdrr #2017LeDebat #GrandDebat ,Nan,2,2,2,0,0,0,Nathalie,None
31,31,"RT @Sarkoziste: Encore un mensonge de @MLP_officiel ! #FN #2017LeDebat 
Via @lemondefr  ",0,2,2,2,0,1,1,None,None
32,32,"RT @Sarkoziste: Et un mensonge de @MLP_officiel ! #FN #2017LeDebat 
Via @lemondefr  ",0,2,2,2,0,1,1,None,None
33,33,"RT @Lizerunn: Le Pen mensonges , outrance et agressivité
Macron mépris de classe , misère et casse sociale
#2017LeDebat niveau de merde
#Sans… ",0,0,2,0,0,1,0,Macron,Macron
34,34,"RT @Lizerunn: Le Pen mensonges , outrance et agressivité
Macron mépris de classe , misère et casse sociale
#2017LeDebat niveau de merde
#Sans… ",0,0,2,0,0,1,0,Macron,Macron
35,35,"RT @LiugaStone: ""J'aurais dû prendre ma Switch"" #2017LeDebat  ",Nan,2,2,2,0,0,1,None,None
36,36,"RT @Lizerunn: Le Pen mensonges , outrance et agressivité
Macron mépris de classe , misère et casse sociale
#2017LeDebat niveau de merde
#Sans… ",0,0,2,0,0,1,0,Macron,Macron
