,text,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin,dic_rounded,media_tri,media_bin,total
0,RT @FrVerre: Il faut se rappeler que le 1er à parler d'un prétendu compte caché c'est Macron lui-même #2017LeDebat #MacronGate ,2,2,0,0,0,0,Nan,1,0,-
1,"RT @david_rachline: ""Marine a mis ce soir M. #Macron face à ses responsabilités : oui , il a eu le soutien de l'UOIF , et c'est scandaleux !""… ",2,2,2,0,0,0,Nan,2,0,Neu
2,"RT @Arielfromparis: "" Moi président de la république , je ré-ouvrirais l'enquête sur la mort de TuPac ! "" 

#2017LeDebat 
#GrandDebat ",2,2,2,0,0,1,0,2,0,0
3,"RT @PBLVofficiel: / #Mistral Info / Le débat des élections a eu lieu ds #PBLV ! Et le grand gagnant est ... #2017LeDebat #Debat2017

,andree peigne ,2 ,NaN ,43.935 ,6.068
2017-05-07 09:17:01 ,""/ #Mistral Info / Le débat des élections a eu lieu ds #PBLV ! Et le grand gagnant est ... #2017LeDebat #Debat2017

 ",2,2,2,0,0,0,1,2,0,-
4,"RT @vgoyet: Contrairement à ce que Marine Le Pen raconte , les communes appliquent progressivement la loi de 2005 sur le handicap. #2017LeDé… ",2,2,2,0,0,1,0,2,0,0
5,"RT @LeNomDeLaRose1: le système Macron c'est comme ton patron ,il t'exploite ,tu le détestes ,mais tu n'as pas le courage de changer d'entrepri… ",2,2,2,0,0,0,1,2,0,-
6,"RT @TeamMarcheurs: ❌ D'après les derniers chiffres le vote blanc favorise largement #Lepen alors stop #BlancMarine 

#Albi #Macron #2017LeD… ",2,2,2,1,1,1,1,2,1,1
7,"RT @olivier_cours: @rglucks1 @inescroquable_ Elle perd toute crédibilité ,totalement dépassée sur chaque dossier! Macron se balade ,il démont… ",2,2,2,0,0,0,0,2,0,0
8,"RT @CCastaner: ""Pour être Président , il vaut mieux avoir réponse à toutes les questions. #LePen n'avait réponse à rien."" @franceinfo #2017L… ",2,2,0,0,0,0,0,1,0,0
9,"RT @TeamMarcheurs: Contre une charge de kamikaze de #Lepen Nous avons la lucidité de #Macron !
#jevoteMacron #2017LeDebat  ",2,2,2,0,0,1,0,2,0,0
10,"RT @RenaudMuselier: Choisir le mensonge , le vrai slogan du #FN! #VéritésSurlEurope
#2017LeDebat  #Présidentielle2017  ",2,2,1,1,1,1,0,2,1,-
11,"RT @RenaudMuselier: Choisir le mensonge , le vrai slogan du #FN ! #VéritésSurlEurope
#2017LeDebat  #Présidentielle2017  ",2,2,1,1,1,1,0,2,1,-
12,"RT @RenaudMuselier: Choisir le mensonge , le vrai slogan du #FN! #VéritésSurlEurope
#2017LeDebat  #Présidentielle2017 #frontières #Sécurité… ",2,2,1,1,1,1,0,2,1,-
13,"RT @RenaudMuselier: Choisir le mensonge , le vrai slogan du #FN! #VéritésSurlEurope
#2017LeDebat #Presidentielle2017 #Brexit #Frexit #Europe… ",2,2,1,1,1,1,0,2,1,-
14,RT @aecLaCiotat: Elle est inépuisable la vague qui nous porte ! @JLMelenchon  #RendezNousMelenchon #2017LeDebat   htt… ,2,2,2,0,0,1,0,2,0,0
15,"RT @TeamMarcheurs: ❌ D'après les derniers chiffres le vote blanc favorise largement #Lepen alors stop #BlancMarine 

#Albi #Macron #2017LeD… ",2,2,2,1,1,1,1,2,1,1
16,RT @Michy13260: Vers quel candidat s'orienterait votre choix suite à ce #GrandDebat ? #2017LeDebat #Presidentielle2017 ,2,1,2,0,1,0,Nan,2,0,Neu
17,RT @ManuBrewski: Résumé de la soirée pour #MarineLePen...#2017LeDebat ,2,2,2,1,0,0,Nan,2,0,Neu
18,RT @Xecolo: #lepen est tellement venere de son crash du #2017LeDebat qu'il ne lui reste plus que des #FNFakeNews  ,2,2,1,0,1,0,0,2,0,0
19,"RT @TeamMarcheurs: C'est quoi cette histoire de double monnaie Mme #Lepen... 

🇪🇺 #2017LeDébat #jevotemacron #europe #leDebat2017 #GrandDeb… ",0,0,0,0,0,0,Nan,0,0,0
