,Unnamed: 0,text,dic_rounded,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin,entities,candidate
0,0,"RT @LNatacha56: ""A chaque délit , il faut une sanction pénale"". Quel humour cette #MarineLePen ! Et si on parlait immunité parlementaire ?… ",1,2,2,2,0,0,0,#MarineLePen,LePen
1,1,RT @mbed35260: Elle va péter les plombs à la fin... #2017LeDebat ,1,2,2,2,0,0,0,None,None
2,2,"RT @LNatacha56: ""A chaque délit , il faut une sanction pénale"". Quel humour cette #MarineLePen ! Et si on parlait immunité parlementaire ?… ",1,2,2,2,0,0,0,#MarineLePen,LePen
3,3,RT @vio_bzh: Dupont Aignan ce soir vient de dire au revoir à son futur ex post de 1er ministre #2017LeDebat ,0,2,2,2,0,0,0,Dupont Aignan,None
4,4,RT @citoyen56: Ce débat n'était pas au niveau ! Personne ne s'est mis dans la stature de President !#MacronCestNON #2017LeDebat vivement le… ,1,0,2,2,1,0,0,#MacronCestNON,Macron
5,5,"RT @3_l_l3: #Bayrougate #2017ledebat #jevotepour lol en twittant dimanche #RadioLondres on risque 75000€ d'amende , le juge en décidera. Sér… ",0,2,2,2,1,0,0,None,None
6,6,"RT @marouchka_b: Au-delà d idées politiques , on peut louer le sang froid de @EmmanuelMacron face à #MLP. Il peut recevoir les codes nucléai… ",1,2,2,2,0,1,0,None,None
7,7,"RT @3_l_l3: #Bayrougate #2017ledebat #jevotepour lol en twittant dimanche #RadioLondres on risque 75000€ d'amende , le juge en décidera. Sér… ",0,2,2,2,1,0,0,None,None
8,8,"#Bayrougate #2017ledebat #jevotepour lol en twittant dimanche #RadioLondres on risque 75000€ d'amende , le juge en décidera. Sérieusement? 🐖 ",0,2,2,2,1,1,0,None,None
9,9,RT @mbed35260: Elle va péter les plombs à la fin... #2017LeDebat ,1,2,2,2,0,0,0,None,None
10,10,"RT @LNatacha56: ""A chaque délit , il faut une sanction pénale"". Quel humour cette #MarineLePen ! Et si on parlait immunité parlementaire ?… ",1,2,2,2,0,0,0,#MarineLePen,LePen
11,11,"RT @marouchka_b: Au-delà d idées politiques , on peut louer le sang froid de @EmmanuelMacron face à #MLP. Il peut recevoir les codes nucléai… ",1,2,2,2,0,1,0,None,None
12,12,"RT @marouchka_b: Au-delà d idées politiques , on peut louer le sang froid de @EmmanuelMacron face à #MLP. Il peut recevoir les codes nucléai… ",1,2,2,2,0,1,0,None,None
13,13,RT @mbed35260: Elle va péter les plombs à la fin... #2017LeDebat ,1,2,2,2,0,0,0,None,None
14,14,"RT @LNatacha56: ""A chaque délit , il faut une sanction pénale"". Quel humour cette #MarineLePen ! Et si on parlait immunité parlementaire ?… ",1,2,2,2,0,0,0,#MarineLePen,LePen
15,15,"RT @marouchka_b: Au-delà d idées politiques , on peut louer le sang froid de @EmmanuelMacron face à #MLP. Il peut recevoir les codes nucléai… ",1,2,2,2,0,1,0,None,None
16,16,RT @slebihan: #2017LeDébat prout ? ,Nan,2,2,2,0,0,1,None,None
17,17,"RT @marouchka_b: Au-delà d idées politiques , on peut louer le sang froid de @EmmanuelMacron face à #MLP. Il peut recevoir les codes nucléai… ",1,2,2,2,0,1,0,None,None
18,18,"RT @marouchka_b: Au-delà d idées politiques , on peut louer le sang froid de @EmmanuelMacron face à #MLP. Il peut recevoir les codes nucléai… ",1,2,2,2,0,1,0,None,None
19,19,"RT @LNatacha56: ""A chaque délit , il faut une sanction pénale"". Quel humour cette #MarineLePen ! Et si on parlait immunité parlementaire ?… ",1,2,2,2,0,0,0,#MarineLePen,LePen
