,text,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin,dic_rounded,media_tri,media_bin,total
0,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",2,2,2,0,0,1,1,2,0,-
1,RT @SteeveBriois: #Macron / #Hollande : même bilan ! Vous en revoulez pour 5 ans ? #Débat2017 #2017LeDébat ,2,2,2,1,1,1,Nan,2,1,Neu
2,RT @lescogriffe1: Des débatteurs en herbe. #LeGrandDebat #LePenMacron #2017LeDebat #legrandnimportequoi #ecologie ,2,2,2,0,0,1,0,2,0,0
3,RT @extazysse: #2017LeDebat ,2,2,2,0,0,1,Nan,2,0,Neu
4,"RT @Marsupi_L_Ami: T'avais dit qu'on ferait des knackis...

Nathalie Saint-Cricq

#LeGrandDébat  #2017LeDébat  ",2,2,2,1,1,1,Nan,2,1,Neu
5,RT @extazysse: #2017LeDebat ,2,2,2,0,0,1,Nan,2,0,Neu
6,RT @Siphano: MLP est ridicule elle est venu pour attaquer et non débattre. Son temps de parole lui sert à critiquer son adversaire. Risible… ,2,2,2,0,1,0,0,2,0,0
7,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
#2017LeDebat  #GrandDebat 
  ",2,2,2,0,0,1,1,2,0,-
8,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",2,2,2,0,0,1,1,2,0,-
9,RT @LauDegallaix: C'est officiel @MLP_officiel a bien un projet mais jusque dimanche uniquement : taper sur @EmmanuelMacron #2017LeDebat #P… ,1,2,1,0,0,0,Nan,1,0,-
10,"RT @hb_xpredator: Journaliste : Vos propositions pour l'aide aux handicapés ? 

LePen : Vous savez l'immigration..

 #2017LeDebat  ",2,2,2,0,0,0,0,2,0,0
11,"RT @jimmyfaitlcon: -moi je suis proche des salariés
-nan c'est moi
-nan c'est pas vrai c'est moi
-menteur c'est moi
#2017LeDébat ",2,2,0,0,0,0,0,1,0,0
12,Ma réflexion à chaud sur #2017LeDebat lors du duel tragicomique #LePen Vs #Macron 😂😂😂!!! #Présidentielle2017 ,2,2,2,0,0,0,0,2,0,0
13,RT @xavierrothen: Quel est votre choix pour Dimanche ? #2017LeDebat ,2,1,2,0,1,0,Nan,2,0,Neu
14,"RT @jimmyfaitlcon: -moi je suis proche des salariés
-nan c'est moi
-nan c'est pas vrai c'est moi
-menteur c'est moi
#2017LeDébat ",2,2,0,0,0,0,0,1,0,0
15,"RT @YeojaDs: - pôpa ils ont dit que je méritais pas d'être présidente
- c'est pas grave tu resteras toujours ma petite nazie n'est-ce pas
#… ",1,2,1,1,1,1,Nan,1,1,1
16,RT @SteeveBriois: Le bilan de #Macron lorsqu'il était conseiller économique de François #Hollande a été catastrophique ! #Débat2017 #2017Le… ,2,2,2,0,1,0,Nan,2,0,Neu
17,RT @SteeveBriois: #Macron / #Hollande : même bilan ! Vous en revoulez pour 5 ans ? #Débat2017 #2017LeDébat ,2,2,2,1,1,1,Nan,2,1,Neu
18,RT @SteeveBriois: Le bilan de #Macron lorsqu'il était conseiller économique de François #Hollande a été catastrophique ! #Débat2017 #2017Le… ,2,2,2,0,1,0,Nan,2,0,Neu
19,RT @SteeveBriois: Le bilan de #Macron lorsqu'il était conseiller économique de François #Hollande a été catastrophique ! #Débat2017 #2017Le… ,2,2,2,0,1,0,Nan,2,0,Neu
20,RT @SteeveBriois: Le bilan de #Macron lorsqu'il était conseiller économique de François #Hollande a été catastrophique ! #Débat2017 #2017Le… ,2,2,2,0,1,0,Nan,2,0,Neu
21,RT @SteeveBriois: Le bilan de #Macron lorsqu'il était conseiller économique de François #Hollande a été catastrophique ! #Débat2017 #2017Le… ,2,2,2,0,1,0,Nan,2,0,Neu
22,RT @SteeveBriois: #Macron / #Hollande : même bilan ! Vous en revoulez pour 5 ans ? #Débat2017 #2017LeDébat ,2,2,2,1,1,1,Nan,2,1,Neu
23,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",2,2,2,0,0,1,1,2,0,-
24,RT @extazysse: #2017LeDebat ,2,2,2,0,0,1,Nan,2,0,Neu
25,RT @extazysse: #2017LeDebat ,2,2,2,0,0,1,Nan,2,0,Neu
26,"RT @Axouuuul: Qui a parié avec Macron pour qu'il glisse  ""poudre de perlinpinpin"" dans le débat ? #2017LeDébat ",2,2,2,0,1,0,Nan,2,0,Neu
27,RT @extazysse: #2017LeDebat ,2,2,2,0,0,1,Nan,2,0,Neu
28,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",2,2,2,0,0,1,1,2,0,-
29,Tu rajoutes une musique et sa fait tous 😂 #2017LeDébat ,2,2,2,1,0,0,Nan,2,0,Neu
30,RT @lescogriffe1: Des débatteurs en herbe. #LeGrandDebat #LePenMacron #2017LeDebat #legrandnimportequoi #ecologie ,2,2,2,0,0,1,0,2,0,0
31,RT @Siphano: MLP est ridicule elle est venu pour attaquer et non débattre. Son temps de parole lui sert à critiquer son adversaire. Risible… ,2,2,2,0,1,0,0,2,0,0
32,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",2,2,2,0,0,1,1,2,0,-
33,RT @extazysse: #2017LeDebat ,2,2,2,0,0,1,Nan,2,0,Neu
34,RT @extazysse: #2017LeDebat ,2,2,2,0,0,1,Nan,2,0,Neu
35,RT @extazysse: #2017LeDebat ,2,2,2,0,0,1,Nan,2,0,Neu
36,RT @extazysse: #2017LeDebat ,2,2,2,0,0,1,Nan,2,0,Neu
37,RT @extazysse: #2017LeDebat ,2,2,2,0,0,1,Nan,2,0,Neu
38,RT @extazysse: #2017LeDebat ,2,2,2,0,0,1,Nan,2,0,Neu
39,"RT @haristote0511: #2017LeDebat
Si vous vouliez 
cantine gratuite
du fond 
de l'écologie
du bio
du partage des richesses
de l'humain 
Bah f… ",2,2,2,0,1,0,1,2,0,-
40,RT @extazysse: #2017LeDebat ,2,2,2,0,0,1,Nan,2,0,Neu
41,RT @extazysse: #2017LeDebat ,2,2,2,0,0,1,Nan,2,0,Neu
42,#2017LeDebat ,2,2,2,0,0,1,Nan,2,0,Neu
43,RT @Mushway: macron il suce tellement c'est incroyable #2017LeDébat ,2,2,2,0,0,0,Nan,2,0,Neu
44,"RT @Mushway: le nombre de crétin sur ce hastag qui comprennent rien a ceux qu'il se dit  et qui rabâche la merde des autres , suicidez vous… ",2,2,0,0,0,0,0,1,0,0
45,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",2,2,2,0,0,1,1,2,0,-
46,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",2,2,2,0,0,1,1,2,0,-
47,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",2,2,2,0,0,1,1,2,0,-
48,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",2,2,2,0,0,1,1,2,0,-
